Energy,Mo,Ta,W,Au,Cu,Ni,Pd,Pt,Rh,Cd,Co,Hf,La,Os,Re,Ru,Sc,Tc,Ti,Y,Zn,Zr
-6.300000000000017,0.06950233699999916,0.09526272999999917,0.3042326949999918,1.7,0.193,0.075,0.07837898299999836,1.46,0.133,0.351,0.144,0.186,0.0,1.982059800000085,1.46,0.28200347499987366,0.0,0.142,0.0,0.0,0.434,0.0
-6.200000000000017,0.07720467399999834,0.101,0.7206288649999427,1.66,0.202,0.07843336499999916,0.08533949149999918,1.48,0.2632331499999828,0.358,0.162,0.197,0.0,1.8520598000000896,1.45,0.7670685199999295,0.0,0.156,0.0,0.0,0.435,0.0
-6.100000000000017,0.08300233699999912,0.106,0.6182326949999913,1.65,0.21329978999999127,0.08223336499999911,0.09297898299999828,1.43,0.33923314999998194,0.363,0.167,0.21,0.0,1.7,1.52,1.3013356499999076,0.0,0.168,0.0,0.0,0.435,0.0
-6.000000000000018,0.09020467399999824,0.111,0.648,1.45,0.227,0.0863333649999991,0.101,1.37,0.5863497249999728,0.37,0.178,0.223,0.0,1.9641196000001861,1.52,1.75,0.0,0.18215222999999137,0.008675133899991836,0.0,0.434,0.0
-5.900000000000018,0.09760233699999908,0.117,0.621,1.1909708500000904,0.242,0.0908333649999991,0.111,1.33,0.8865154749998819,0.378,0.19,0.237,0.0,1.44,1.43,2.3413356499999067,0.0,0.19815222999999102,0.0658515815000009,0.0,0.429,0.0
-5.8000000000000185,0.10502336999999075,0.124,0.6744653899999818,1.07,0.259,0.09573336499999906,0.121,1.3,1.13,0.38607263999999064,0.20253843499999047,0.25,0.0,1.14,1.6043341499999055,2.76,0.0,0.216152229999991,0.08199367399999634,0.0,0.424,0.0
-5.700000000000019,0.116,0.131,0.718,1.3370874499997152,0.2792997899999907,0.101,0.132,1.29,1.3,0.394,0.219,0.2627103449999908,0.0,1.2679401999999016,1.96,2.73,0.0,0.238,0.10548418499999064,0.0,0.423,0.0
-5.600000000000019,0.126,0.138,0.7352326949999904,1.720970850000099,0.3022997899999904,0.107,0.1463949149999905,1.310728250000095,1.45,0.401,0.237,0.276,0.0,1.3379401999999017,1.93,3.0013356499998984,0.0,0.26215222999999055,0.124,0.0,0.427,0.021875365499989485
-5.5000000000000195,0.13702336999999032,0.145,0.7682326949999904,1.85,0.33229978999999044,0.115,0.1633949149999905,1.11,1.6711657499999009,0.408,0.25853843499999,0.30771034499999034,0.0,2.742059800000102,1.89,3.4886643500001018,0.0,0.6442178399999239,0.137,0.0,0.43,0.06358656299999427
-5.40000000000002,0.18304673999997972,0.153,0.8092326949999904,1.7909708500000994,0.37729978999999,0.124,0.18339491499999006,0.9392184750000296,1.89,0.414,0.28653843499999,0.309,0.0,2.5141196000002055,1.95,3.394006949999694,0.0,0.9750681899994759,0.1534841849999902,0.0,0.432,0.086293281499997
-5.30000000000002,0.2901168499999493,0.162,0.842,1.9919417000002078,0.4395995799999799,0.13433364999998978,0.3737898299999801,0.8490728250000099,2.4711657499998965,0.419,0.3215384349999898,0.319,0.0,1.8941196000002056,1.98,3.467328700000204,0.0,1.5215222999999012,0.16948418499999,0.0,0.435,0.112
-5.200000000000021,0.5180934799999577,0.172,0.866,1.82,0.5305995799999796,0.14733364999998963,0.8031593199999191,0.76485434999998,1.9688342500001035,0.425,0.37353843499998957,0.327,0.0,1.47,2.1743341499998965,2.978664350000106,0.0,2.0315222999998963,0.186,0.0,0.439,0.128
-5.100000000000021,0.7160701099999682,0.183,0.9072326949999896,1.96,0.7457002100000105,0.16233364999998934,1.07,1.2785434999997922,1.86,0.432,0.47061530499996795,0.3527103449999897,0.0,1.42,2.41,2.41,0.0,2.53,0.199,0.0,0.443,0.144
-5.000000000000021,0.9737429300001165,0.196,0.9682326949999894,2.03,0.8082997899999895,0.181,1.38,1.37,1.76,0.439,0.7743843499998913,0.373,0.0,1.7879401999998892,1.87,2.53,0.005244822999988718,2.66,0.212,0.0,0.447,0.161
-4.900000000000022,1.03,0.21062729999998953,1.07,2.04,1.1870021000001094,0.2203336499999889,1.6239491499998917,1.399271749999892,1.6388342500001085,0.445,1.04,0.3947103449999893,0.0,2.41,1.57,2.6086643500001108,0.08096437000000536,2.631522299999892,0.22648418499998932,0.0,0.452,0.179
-4.800000000000022,1.08,0.2256272999999891,1.19,2.1490291499998873,1.18,0.28266729999997775,1.98,1.26,1.52,0.45107263999998887,0.935,0.417,0.0,2.6879401999998884,1.59,1.8786643500001146,0.11247125999998882,2.87,0.242,0.0,0.454,0.196
-4.700000000000022,1.12,0.2486272999999891,1.15,2.4990291499998873,1.26,0.35,2.24394914999989,1.26,1.3888342500001123,0.458,1.1146156500001132,0.438710344999989,0.0,2.71,1.7456658500001123,1.38,0.1504712599999888,3.24,0.258,0.0,0.457,0.2119776049999891
-4.600000000000023,1.19,0.2736272999999888,1.14,2.918058299999766,1.29,0.39600189999993074,2.7760508500001126,1.6721847500003382,1.15,0.465,1.1153843499998846,0.46571034499998887,0.0,2.8679401999998837,1.36,2.022671299999762,0.1694712599999886,3.35,0.27348418499998867,0.011524687999981634,0.46,0.228
-4.500000000000023,1.26,0.308,1.1,3.796116599999531,1.34,0.5573336499999885,2.26,1.34,1.08,0.472,1.59,0.495,0.0,2.89,1.1856658500001167,2.957328700000238,0.194,3.0484777000001126,0.288,0.08415763699998967,0.464,0.246
-4.4000000000000234,1.39,0.3802545999999773,0.7794403550001254,2.9467959500008205,1.8529978999998817,0.557,2.03,1.32,1.02,0.479,1.55,0.527,0.0,2.54,1.2543341499998815,3.525993050000359,0.21847125999998837,2.516955400000233,0.3104841849999884,0.122,0.467,0.2659776049999887
-4.300000000000024,1.53,0.6603910999999173,0.5763019150000351,2.18,2.1129978999998817,0.573,2.05,1.529271749999883,1.42,0.485,1.68,0.5637103449999884,0.0,1.857059800000123,1.5286682999997627,3.482671299999753,0.23947125999998792,2.348477700000117,0.329,0.159,0.471,0.2869776049999882
